Variable,Code,Obs,Mean,Overall Std,Between Std,Within Std,Min,25%,Median,75%,Max
Scopus Documents (Raw Count),scopus_total_documents,350,1438.9828571428573,1396.8922484787465,1302.6234005881495,523.3814214518097,1.0,489.0,825.0,2008.5,5000.0
ln(Scopus Documents),ln_scopus_docs,350,6.662207917872673,1.4518628966894649,1.3837342378663258,0.4638217865675093,0.0,6.192207747055316,6.715371632293861,7.605141125975423,8.517193191416238
Placement Rate (%),placement_rate_pct,350,55.643142857142855,24.60209757304974,22.91737765703023,9.277745502253472,6.9,33.625,60.85,77.52499999999999,99.5
Students per Faculty Member,students_per_faculty,350,12.293885714285716,3.526524103208663,3.221373564013245,1.4758257171082014,1.22,10.335,12.495000000000001,14.15,31.9
Faculty per 100 Students,faculty_per_100_students,350,9.726268315571046,8.610732115099685,8.590554859038681,1.0921963709294664,3.1352773514580137,7.0657562667158125,8.003546049477237,9.675929059771203,81.85975609756098
Full-time PhD Scholars (Raw),phd_fulltime_current,350,977.2028571428572,927.8106876934092,897.7454340399313,253.22523808546097,28.0,363.25,608.0,1170.75,4516.0
ln(Full-time PhD Scholars + 1),ln_phd_scholars,350,6.48391910195875,0.9255873413619901,0.8817303417889831,0.29694126387091824,3.367295829986474,5.897839739123178,6.411796696983527,7.066253568502147,8.415603335654604
Total Student Strength,total_student_strength,350,11104.50857142857,10381.4313486451,10334.360817697447,1482.9567754010016,1137.0,3632.5,7551.0,14032.5,60645.0
ln(Total Student Strength),ln_total_students,350,8.934458077881931,0.8878885572545123,0.8859776730159876,0.11129370333811914,7.036148493750536,8.197585006116519,8.929433801802714,9.549131344911851,11.012792470742982
Sponsored Research Funding (INR),sponsored_amount_y1,350,446124329.56857145,1116974819.6289039,992211928.7301457,523862316.14226955,1500000.0,68816533.5,194055889.5,366816253.5,11118521445.0
ln(Sponsored Research Funding + 1),ln_sponsored_amount,350,18.875238513511956,1.4358368340918404,1.3097450816297462,0.6048606030147058,14.220976332738882,18.04688156418792,19.083653271349945,19.720370634394264,23.13187815343921
Higher Studies Rate (%),higher_studies_rate_pct,350,19.396274233073893,15.083523320068675,13.544518257750072,6.794212630315214,0.5376344086021506,9.441791626130541,15.757476089044815,24.445957860929184,89.47368421052632
% Q1 Journals,pct_q1,349,34.93954154727793,12.185752742615437,10.257579791959008,6.647261124686627,0.0,28.3,35.2,42.0,100.0
% Q2 Journals,pct_q2,349,31.486532951289398,6.788505901177309,4.419828339625854,5.298515162857844,0.0,28.5,31.7,34.5,75.0
% Q3 Journals,pct_q3,349,19.163896848137536,10.438652902846743,7.457429423231874,7.573572093330436,0.0,14.1,17.3,21.8,100.0
% Q4 Journals,pct_q4,349,14.412893982808024,7.690506159649157,6.580944864180449,4.077631545761401,0.0,8.6,13.0,18.5,47.5
Quartile Match Rate (%),quartile_match_rate_pct,350,74.5,12.76249429950845,10.53322748066424,7.29410721061872,0.0,68.825,76.35,83.07499999999999,100.0
