Variable,(1) Pooled OLS,(2) Random Effects,(3) Entity FE,(4) Two-Way FE,(5) Lagged TWFE (t-1)
faculty_per_100_students,"0.0304***
(0.0112)","0.0084
(0.0172)","-0.0538
(0.0444)","-0.0620
(0.0497)",-
lag_faculty_per_100_students,-,-,-,-,"-0.0466
(0.0442)"
lag_ln_phd_scholars,-,-,-,-,"0.1712
(0.1254)"
lag_ln_sponsored_amount,-,-,-,-,"-0.0301
(0.0388)"
lag_ln_total_students,-,-,-,-,"0.1736
(0.2820)"
ln_phd_scholars,"0.4170***
(0.1316)","0.4340***
(0.1230)","0.4210***
(0.1324)","0.3215**
(0.1397)",-
ln_sponsored_amount,"0.0338
(0.1331)","-0.0117
(0.0503)","-0.0383
(0.0490)","-0.0536
(0.0478)",-
ln_total_students,"0.7153***
(0.1853)","0.7195***
(0.1344)","0.6392
(0.4973)","0.0875
(0.4968)",-
const,"-3.3656
(2.1746)","-2.4410
(1.6376)",-,-,-
Observations,350,350,350,350,280
R-squared,0.3309,0.1777,0.1502,0.0707,0.0892
R-squared (Within),0.1088,0.1310,0.1502,0.1265,0.1660
Entity Effects,No,No,Yes,Yes,Yes
Time/Year Effects,No,No,No,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
