Variable,(1) Pooled OLS,(2) Random Effects,(3) Entity FE,(4) Two-Way FE,(5) Lagged TWFE (t-1)
faculty_per_100_students,"0.3155***
(0.1113)","0.4818**
(0.1992)","1.2018
(0.7762)","0.8484
(0.9141)",-
lag_faculty_per_100_students,-,-,-,-,"1.6358
(1.0475)"
lag_ln_total_students,-,-,-,-,"2.8257
(7.0350)"
ln_total_students,"9.2483***
(3.0200)","12.6654***
(3.0336)","24.2662***
(8.2735)","4.1923
(10.9552)",-
const,"-30.0540
(27.8782)","-62.2012**
(27.6631)",-,-,-
Observations,350,350,350,350,280
R-squared,0.0948,0.0547,0.0601,0.0087,0.0383
Entity Effects,No,No,Yes,Yes,Yes
Time/Year Effects,No,No,No,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
