Variable,(1) Pooled OLS,(2) Random Effects,(3) Entity FE,(4) Two-Way FE,(5) Lagged TWFE (t-1)
faculty_per_100_students,"0.3772***
(0.1196)","0.1654
(0.1078)","-0.9311
(0.6236)","-0.9840
(0.6956)",-
lag_faculty_per_100_students,-,-,-,-,"-1.1966
(1.1197)"
lag_ln_total_students,-,-,-,-,"-6.5806
(6.6034)"
ln_total_students,"1.6112
(2.0167)","0.6159
(1.8734)","-6.0638
(4.6484)","-10.4953*
(6.1279)",-
const,"1.3326
(17.7295)","12.2853
(16.8096)",-,-,-
Observations,350,350,350,350,280
R-squared,0.0394,0.0023,0.0161,0.0224,0.0239
Entity Effects,No,No,Yes,Yes,Yes
Time/Year Effects,No,No,No,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
