Variable,Research: Full Sample,Research: Tier 1 (1-35),Research: Tier 2 (36-70),Placement: Full Sample,Placement: Tier 1 (1-35),Placement: Tier 2 (36-70)
faculty_per_100_students,"-0.0620
(0.0497)","-0.0730
(0.0815)","-0.0690
(0.0563)","0.8484
(0.9141)","1.1281
(1.2631)","0.5564
(1.1741)"
ln_phd_scholars,"0.3215**
(0.1397)","0.3796**
(0.1858)","0.1955
(0.1920)",-,-,-
ln_sponsored_amount,"-0.0536
(0.0478)","-0.0062
(0.0492)","-0.0546
(0.0586)",-,-,-
ln_total_students,"0.0875
(0.4968)","-1.0700
(1.3348)","0.2396
(0.3723)","4.1923
(10.9552)","-15.7304
(17.2937)","10.7795
(11.2355)"
Observations,350,170,180,350,170,180
R-squared,0.0707,0.0542,0.0969,0.0087,0.0571,0.0146
R-squared (Within),0.1265,0.0382,0.2176,0.0112,-0.0349,0.0675
Entity Effects,Yes,Yes,Yes,Yes,Yes,Yes
Time/Year Effects,Yes,Yes,Yes,Yes,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
