Variable,(1) Pooled OLS,(2) Random Effects,(3) Entity FE,(4) Two-Way FE,(5) Lagged TWFE (t-1)
faculty_per_100_students,"0.2287**
(0.1005)","0.1893**
(0.0827)","-0.5257
(0.3298)","-0.5040
(0.3841)",-
lag_faculty_per_100_students,-,-,-,-,"0.2525
(0.4317)"
lag_ln_phd_scholars,-,-,-,-,"-1.0366
(1.1905)"
lag_ln_scopus_docs,-,-,-,-,"12.6736***
(2.7549)"
lag_ln_sponsored_amount,-,-,-,-,"0.2107
(0.6264)"
ln_phd_scholars,"1.4515
(1.2272)","3.3365***
(0.9994)","4.5764***
(1.4107)","4.0887***
(1.4422)",-
ln_scopus_docs,"2.7544***
(0.9210)","3.3059**
(1.3277)","3.8251*
(2.0104)","3.3810
(2.0929)",-
ln_sponsored_amount,"0.8692
(0.8853)","-0.4721
(0.4538)","-1.1588**
(0.5075)","-1.2583**
(0.5368)",-
const,"-11.4954
(15.0918)","-1.6692
(9.7413)",-,-,-
Observations,349,349,349,349,279
R-squared,0.2347,0.1624,0.1691,0.1236,0.6286
R-squared (Within),0.0923,0.1456,0.1691,0.1670,0.6420
Entity Effects,No,No,Yes,Yes,Yes
Time/Year Effects,No,No,No,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
