Variable,% Q1: Tier 1 (1-35),% Q1: Tier 2 (36-70),% Q4: Tier 1 (1-35),% Q4: Tier 2 (36-70)
faculty_per_100_students,"0.2711
(0.2612)","-0.8131**
(0.4075)","-0.2781**
(0.1369)","-0.3446
(0.4230)"
ln_phd_scholars,"5.1977**
(2.3446)","3.7800***
(1.3182)","-2.4968
(1.5682)","-1.4120
(1.4864)"
ln_scopus_docs,"1.5379
(0.9332)","6.7766**
(2.6468)","0.2384
(0.8022)","1.2655
(1.9167)"
ln_sponsored_amount,"-0.7270
(0.5695)","-1.3454
(0.8622)","0.1324
(0.4187)","1.6042*
(0.8280)"
Observations,169,180,169,180
R-squared,0.0465,0.3475,0.0679,0.0643
R-squared (Within),0.0499,0.4070,0.0480,0.0461
Entity Effects,Yes,Yes,Yes,Yes
Time/Year Effects,Yes,Yes,Yes,Yes
Covariance,Clustered (Entity),Clustered (Entity),Clustered (Entity),Clustered (Entity)
