institute_id,year,total_documents_all_types,matched_journal_docs,match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-C-23033,2023,120,50,41.7,8.0,20.0,16.0,56.0
IR-O-C-23033,2024,260,138,53.1,19.6,19.6,16.7,44.2
IR-O-C-23033,2025,268,162,60.4,26.5,13.6,25.9,34.0
IR-O-C-6379,2021,358,214,59.8,29.0,29.4,16.4,25.2
IR-O-C-6379,2022,546,389,71.2,34.4,32.9,15.7,17.0
IR-O-C-6379,2023,644,453,70.3,32.7,30.2,15.7,21.4
IR-O-C-6379,2024,749,544,72.6,39.2,34.4,13.6,12.9
IR-O-C-6379,2025,870,625,71.8,40.5,35.0,12.3,12.2
IR-O-I-1110,2021,5,5,100.0,0.0,20.0,60.0,20.0
IR-O-I-1110,2022,7,7,100.0,0.0,57.1,42.9,0.0
IR-O-I-1110,2023,12,9,75.0,11.1,33.3,33.3,22.2
IR-O-I-1110,2024,40,25,62.5,32.0,32.0,24.0,12.0
IR-O-I-1110,2025,110,52,47.3,48.1,5.8,19.2,26.9
IR-O-I-1280,2021,403,341,84.6,28.4,37.0,20.8,13.8
IR-O-I-1280,2022,641,504,78.6,27.0,41.7,17.7,13.7
IR-O-I-1280,2023,689,528,76.6,32.6,35.4,19.7,12.3
IR-O-I-1280,2024,806,607,75.3,33.3,36.6,21.3,8.9
IR-O-I-1280,2025,832,627,75.4,36.0,34.3,19.5,10.2
IR-O-I-1357,2021,745,622,83.5,32.3,41.8,17.2,8.7
IR-O-I-1357,2022,841,740,88.0,33.4,38.8,13.4,14.5
IR-O-I-1357,2023,741,608,82.1,37.8,38.7,16.3,7.2
IR-O-I-1357,2024,795,671,84.4,40.7,35.3,16.5,7.5
IR-O-I-1357,2025,722,634,87.8,41.0,32.5,16.2,10.3
IR-O-I-1361,2021,134,107,79.9,21.5,31.8,29.0,17.8
IR-O-I-1361,2022,252,193,76.6,18.1,23.3,34.2,24.4
IR-O-I-1361,2023,471,293,62.2,18.8,26.3,29.0,25.9
IR-O-I-1361,2024,648,453,69.9,15.9,31.3,26.5,26.3
IR-O-I-1361,2025,714,484,67.8,19.0,22.9,30.4,27.7
IR-O-I-1441,2021,532,330,62.0,29.7,41.8,11.2,17.3
IR-O-I-1441,2022,2181,1439,66.0,30.8,45.4,11.3,12.5
IR-O-I-1441,2023,3656,1892,51.8,48.2,30.8,12.5,8.6
IR-O-I-1441,2024,5000,2881,57.6,46.5,27.6,15.5,10.4
IR-O-I-1441,2025,5000,3518,70.4,49.9,32.7,14.0,3.4
IR-O-I-1480,2021,227,196,86.3,49.5,34.7,10.2,5.6
IR-O-I-1480,2022,218,184,84.4,39.1,40.8,14.7,5.4
IR-O-I-1480,2023,228,195,85.5,48.7,39.5,9.7,2.1
IR-O-I-1480,2024,211,179,84.8,51.4,29.1,12.8,6.7
IR-O-I-1480,2025,298,222,74.5,50.9,34.7,10.4,4.1
IR-O-I-1486,2021,366,336,91.8,16.1,25.3,29.2,29.5
IR-O-I-1486,2022,459,373,81.3,22.0,25.2,36.5,16.4
IR-O-I-1486,2023,449,361,80.4,19.1,33.0,31.9,16.1
IR-O-I-1486,2024,483,427,88.4,21.8,29.0,27.6,21.5
IR-O-I-1486,2025,708,622,87.9,20.1,28.3,25.7,25.9
IR-O-N-10,2021,144,73,50.7,30.1,26.0,24.7,19.2
IR-O-N-10,2022,176,119,67.6,24.4,26.9,26.1,22.7
IR-O-N-10,2023,146,88,60.3,28.4,25.0,17.0,29.5
IR-O-N-10,2024,152,80,52.6,28.7,26.2,12.5,32.5
IR-O-N-10,2025,173,90,52.0,21.1,33.3,14.4,31.1
IR-O-U-0003,2021,310,252,81.3,18.7,34.1,27.8,19.4
IR-O-U-0003,2022,314,279,88.9,10.8,32.6,30.5,26.2
IR-O-U-0003,2023,293,238,81.2,11.3,30.3,40.8,17.6
IR-O-U-0003,2024,299,254,84.9,12.2,26.8,34.6,26.4
