institute_id,nirf_name,af_id,af_name,city,country,doc_count,confirmed
IR-O-U-0220,"Indian Institute of Science, Bengaluru",,NOT FOUND -- search manually,,,,
IR-O-U-0109,Jawaharlal Nehru University,,NOT FOUND -- search manually,,,,
IR-O-U-0500,Banaras Hindu University,,NOT FOUND -- search manually,,,,
IR-O-U-0042,University of Hyderabad,,NOT FOUND -- search manually,,,,
IR-O-U-0570,Calcutta University,,NOT FOUND -- search manually,,,,
IR-O-U-0575,Jadavpur University,,NOT FOUND -- search manually,,,,
IR-O-U-0439,Anna University,,NOT FOUND -- search manually,,,,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,,NOT FOUND -- search manually,,,,
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",,NOT FOUND -- search manually,,,,
IR-O-U-0323,Savitribai Phule Pune University,,NOT FOUND -- search manually,,,,
IR-O-U-0496,Aligarh Muslim University,,NOT FOUND -- search manually,,,,
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",,NOT FOUND -- search manually,,,,
IR-O-U-0120,University of Delhi,,NOT FOUND -- search manually,,,,
IR-O-U-0447,Bharathiar University,,NOT FOUND -- search manually,,,,
IR-O-U-0308,Institute of Chemical Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0006,"Andhra University, Visakhapatnam",,NOT FOUND -- search manually,,,,
IR-O-U-0304,Homi Bhabha National Institute,,NOT FOUND -- search manually,,,,
IR-O-U-0107,Jamia Hamdard,,NOT FOUND -- search manually,,,,
IR-O-U-0490,Vellore Institute of Technology,,NOT FOUND -- search manually,,,,
IR-O-I-1357,University of Madras,,NOT FOUND -- search manually,,,,
IR-O-U-0078,Panjab University,,NOT FOUND -- search manually,,,,
IR-O-U-0260,Kerala University,,NOT FOUND -- search manually,,,,
IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",,NOT FOUND -- search manually,,,,
IR-O-U-0363,Siksha `O` Anusandhan,,NOT FOUND -- search manually,,,,
IR-O-U-0523,King George`s Medical University,,NOT FOUND -- search manually,,,,
IR-O-U-0027,Osmania University,,NOT FOUND -- search manually,,,,
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),,NOT FOUND -- search manually,,,,
IR-O-U-0435,Alagappa University,,NOT FOUND -- search manually,,,,
IR-O-U-0056,Tezpur University,,NOT FOUND -- search manually,,,,
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",,NOT FOUND -- search manually,,,,
IR-O-U-0356,Kalinga Institute of Industrial Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0473,S. R. M. Institute of Science and Technology,,NOT FOUND -- search manually,,,,
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0222,JSS Academy of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0331,Tata Institute of Social Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0446,Bharath Institute of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0589,Visva Bharati,,NOT FOUND -- search manually,,,,
IR-O-U-0554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",,NOT FOUND -- search manually,,,,
IR-O-U-0341,North Eastern Hill University,,NOT FOUND -- search manually,,,,
IR-O-U-0476,Shanmugha Arts Science Technology and Research Academy,,NOT FOUND -- search manually,,,,
IR-O-U-0474,Sathyabama Institute of Science and Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0052,Gauhati University,,NOT FOUND -- search manually,,,,
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,,NOT FOUND -- search manually,,,,
IR-O-U-0485,Tamil Nadu Agricultural University,,NOT FOUND -- search manually,,,,
IR-O-U-0463,Madurai Kamaraj University,,NOT FOUND -- search manually,,,,
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,,NOT FOUND -- search manually,,,,
IR-O-U-0098,Delhi Technological University,,NOT FOUND -- search manually,,,,
IR-O-U-0369,Pondicherry University,,NOT FOUND -- search manually,,,,
IR-O-U-0037,Sri Venkateswara University,,NOT FOUND -- search manually,,,,
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),,NOT FOUND -- search manually,,,,
IR-O-U-0381,"Punjab Agricultural University, Ludhiana",,NOT FOUND -- search manually,,,,
IR-O-U-0642,Shiv Nadar University,,NOT FOUND -- search manually,,,,
IR-O-U-0196,University of Kashmir,,NOT FOUND -- search manually,,,,
IR-O-U-0235,Mysore University,,NOT FOUND -- search manually,,,,
IR-O-U-0376,Guru Nanak Dev University,,NOT FOUND -- search manually,,,,
IR-O-U-0329,Symbiosis International,,NOT FOUND -- search manually,,,,
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,,NOT FOUND -- search manually,,,,
IR-O-U-0497,Amity University Noida,,NOT FOUND -- search manually,,,,
IR-O-U-0202,Birla Institute of Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0448,Bharathidasan University,,NOT FOUND -- search manually,,,,
IR-O-U-0389,Banasthali Vidyapith,,NOT FOUND -- search manually,,,,
IR-O-I-1361,Bharati Vidyapeeth,,NOT FOUND -- search manually,,,,
IR-O-U-0159,Chaudhary Charan Singh Haryana Agricultural University,,NOT FOUND -- search manually,,,,
IR-O-U-0251,"Calicut University, Thenhipalem, Malapuram",,NOT FOUND -- search manually,,,,
IR-O-U-0253,Cochin University of Science and Technology,,NOT FOUND -- search manually,,,,
IR-O-U-0099,Guru Gobind Singh Indraprastha University,,NOT FOUND -- search manually,,,,
IR-O-U-0123,Anand Agricultural University,,NOT FOUND -- search manually,,,,
IR-O-U-0470,Periyar University,,NOT FOUND -- search manually,,,,
IR-O-U-0225,KLE Academy of Higher Education and Research,,NOT FOUND -- search manually,,,,
IR-O-U-0239,NITTE,,NOT FOUND -- search manually,,,,
