institute_id,nirf_name,affilname,city,country,doc_count,confirmed
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Indian Institute of Science,Bengaluru,India,13/25 sampled docs,yes
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Indian Institute of Technology Madras,Chennai,India,2/25 sampled docs,
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Indian Institute of Technology Delhi,New Delhi,India,2/25 sampled docs,
IR-O-U-0220,"Indian Institute of Science, Bengaluru",National Institute of Technology Karnataka,Mangalore,India,1/25 sampled docs,
IR-O-U-0220,"Indian Institute of Science, Bengaluru",Bangalore University,Bengaluru,India,1/25 sampled docs,
IR-O-U-0109,Jawaharlal Nehru University,Jawaharlal Nehru University,New Delhi,India,21/25 sampled docs,yes
IR-O-U-0109,Jawaharlal Nehru University,Manipur University,Imphal,India,1/25 sampled docs,
IR-O-U-0109,Jawaharlal Nehru University,Banaras Hindu University,Varanasi,India,1/25 sampled docs,
IR-O-U-0109,Jawaharlal Nehru University,Eesti Maaülikool,Tartu,Estonia,1/25 sampled docs,
IR-O-U-0109,Jawaharlal Nehru University,Goethe-Universität Frankfurt am Main,Frankfurt am Main,Germany,1/25 sampled docs,
IR-O-U-0500,Banaras Hindu University,Banaras Hindu University,Varanasi,India,17/25 sampled docs,yes
IR-O-U-0500,Banaras Hindu University,Indian Institute of Technology Madras,Chennai,India,1/25 sampled docs,
IR-O-U-0500,Banaras Hindu University,National Institute of Technology Kurukshetra,Kurukshetra,India,1/25 sampled docs,
IR-O-U-0500,Banaras Hindu University,Indian Institute of Technology (BHU) Varanasi,Varanasi,India,1/25 sampled docs,
IR-O-U-0500,Banaras Hindu University,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,India,1/25 sampled docs,
IR-O-U-0042,University of Hyderabad,University of Hyderabad,Hyderabad,India,16/25 sampled docs,yes
IR-O-U-0042,University of Hyderabad,"Tata Institute of Fundamental Research, Mumbai",Mumbai,India,1/25 sampled docs,
IR-O-U-0042,University of Hyderabad,Indira Gandhi National Open University,New Delhi,India,1/25 sampled docs,
IR-O-U-0042,University of Hyderabad,Fakir Mohan University,Balasore,India,1/25 sampled docs,
IR-O-U-0042,University of Hyderabad,International Institute for Population Sciences,Mumbai,India,1/25 sampled docs,
IR-O-U-0570,Calcutta University,University of Calcutta,Kolkata,India,11/25 sampled docs,yes
IR-O-U-0570,Calcutta University,"St. Xavier's College, Kolkata",Kolkata,India,2/25 sampled docs,
IR-O-U-0570,Calcutta University,Imam Mohammad Ibn Saud Islamic University,Riyadh,Saudi Arabia,2/25 sampled docs,
IR-O-U-0570,Calcutta University,École Normale Supèrieure d'Enseignement Technologique de Skikda,Skikda,Algeria,2/25 sampled docs,
IR-O-U-0570,Calcutta University,Aligarh Muslim University,Aligarh,India,1/25 sampled docs,
IR-O-U-0575,Jadavpur University,Jadavpur University,Kolkata,India,16/25 sampled docs,yes
IR-O-U-0575,Jadavpur University,Central Glass and Ceramic Research Institute India,Kolkata,India,2/25 sampled docs,
IR-O-U-0575,Jadavpur University,University of Engineering & Management Kolkata,Kolkata,India,1/25 sampled docs,
IR-O-U-0575,Jadavpur University,Vidyasagar University,Purba Midnapore,India,1/25 sampled docs,
IR-O-U-0575,Jadavpur University,"Techno India University, West Bengal",Kolkata,India,1/25 sampled docs,
IR-O-U-0439,Anna University,Anna University,Chennai,India,11/25 sampled docs,yes
IR-O-U-0439,Anna University,Madras Institute of Technology,Chennai,India,8/25 sampled docs,
IR-O-U-0439,Anna University,"Anna University of Technology, Tiruchirappalli",Tiruchirappalli,India,2/25 sampled docs,
IR-O-U-0439,Anna University,"University College of Engineering, Dindigul",Dindigul,India,1/25 sampled docs,
IR-O-U-0439,Anna University,Sri Ramakrishna Institute of Technology,Coimbatore,India,1/25 sampled docs,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,"Amrita University, Amritapuri Campus",Kollam,India,10/25 sampled docs,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Amrita Vishwa Vidyapeetham,Coimbatore,India,4/25 sampled docs,yes
IR-O-U-0436,Amrita Vishwa Vidyapeetham,"Amrita School of Engineering, Coimbatore",Coimbatore,India,3/25 sampled docs,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Amrita School of Business,Coimbatore,India,2/25 sampled docs,
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Sister Nivedita University,Kolkata,India,1/25 sampled docs,
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal Institute of Technology,Manipal,India,4/25 sampled docs,
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal","Kasturba Medical College, Manipal",Manipal,India,3/25 sampled docs,
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal Academy of Higher Education,Manipal,India,2/25 sampled docs,yes
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",National Institute of Mental Health and Neuro Sciences,Bengaluru,India,2/25 sampled docs,
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal","Manipal College of Dental Sciences, Manipal",Manipal,India,1/25 sampled docs,
IR-O-U-0323,Savitribai Phule Pune University,Savitribai Phule Pune University,Pune,India,18/25 sampled docs,yes
IR-O-U-0323,Savitribai Phule Pune University,Vikrant University Gwalior,Gwalior,India,1/25 sampled docs,
IR-O-U-0323,Savitribai Phule Pune University,"Sanjivani College of Pharmaceutical Education and Research, Kopargaon",Kopargaon,India,1/25 sampled docs,
IR-O-U-0323,Savitribai Phule Pune University,SNJB's KKHA Arts,Commerce,India,1/25 sampled docs,
IR-O-U-0323,Savitribai Phule Pune University,K.R.T. Arts,Nashik,India,1/25 sampled docs,
IR-O-U-0496,Aligarh Muslim University,Aligarh Muslim University,Aligarh,India,16/25 sampled docs,yes
IR-O-U-0496,Aligarh Muslim University,Zakir Husain College of Engineering and Technology,Aligarh,India,3/25 sampled docs,
IR-O-U-0496,Aligarh Muslim University,Indian Institute of Technology Ropar,Rupnagar,India,2/25 sampled docs,
IR-O-U-0496,Aligarh Muslim University,Universitas Muhammadiyah Yogyakarta,Yogyakarta,Indonesia,1/25 sampled docs,
IR-O-U-0496,Aligarh Muslim University,University of Kashmir,Srinagar,India,1/25 sampled docs,
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",Jamia Millia Islamia,New Delhi,India,15/25 sampled docs,yes
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",Hansraj College,New Delhi,India,1/25 sampled docs,
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",University of Washington School of Medicine,Seattle,United States,1/25 sampled docs,
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",Institute for Health Metrics and Evaluation,Seattle,United States,1/25 sampled docs,
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",Udai Pratap Autonomous College,Varanasi,India,1/25 sampled docs,
IR-O-U-0120,University of Delhi,University of Delhi,New Delhi,India,7/25 sampled docs,yes
IR-O-U-0120,University of Delhi,Jawaharlal Nehru University,New Delhi,India,3/25 sampled docs,
IR-O-U-0120,University of Delhi,Dr. B.R. Ambedkar Center for Biomedical Research,New Delhi,India,2/25 sampled docs,
IR-O-U-0120,University of Delhi,Maitreyi College,New Delhi,India,2/25 sampled docs,
IR-O-U-0120,University of Delhi,Banaras Hindu University,Varanasi,India,2/25 sampled docs,
IR-O-U-0447,Bharathiar University,Bharathiar University,Coimbatore,India,17/25 sampled docs,yes
IR-O-U-0447,Bharathiar University,Periyar University,Salem,India,2/25 sampled docs,
IR-O-U-0447,Bharathiar University,Jiangsu University of Science and Technology,Zhenjiang,China,1/25 sampled docs,
IR-O-U-0447,Bharathiar University,Jeju National University,Jeju,South Korea,1/25 sampled docs,
IR-O-U-0447,Bharathiar University,Sri Ramakrishna Institute of Technology,Coimbatore,India,1/25 sampled docs,
IR-O-U-0308,Institute of Chemical Technology,Indian Institute of Chemical Technology,Hyderabad,India,3/25 sampled docs,
IR-O-U-0308,Institute of Chemical Technology,Politechnika Poznanska,Poznan,Poland,3/25 sampled docs,
IR-O-U-0308,Institute of Chemical Technology,Institute of Chemical Technology,Mumbai,India,2/25 sampled docs,yes
IR-O-U-0308,Institute of Chemical Technology,Chungnam National University,Daejeon,South Korea,2/25 sampled docs,
IR-O-U-0308,Institute of Chemical Technology,Jiangnan University,Wuxi,China,2/25 sampled docs,
IR-O-U-0006,"Andhra University, Visakhapatnam",Andhra University,Visakhapatnam,India,10/25 sampled docs,yes
IR-O-U-0006,"Andhra University, Visakhapatnam",Andhra University College of Engineering,Visakhapatnam,India,3/25 sampled docs,
IR-O-U-0006,"Andhra University, Visakhapatnam","Sri Sivani College of Pharmacy, Srikakulam",Srikakulam,India,1/25 sampled docs,
IR-O-U-0006,"Andhra University, Visakhapatnam",AVN Institute of Engineering & Technology,Hyderabad,India,1/25 sampled docs,
IR-O-U-0006,"Andhra University, Visakhapatnam",Gandhi Institute of Technology and Management (GITAM),Visakhapatnam,India,1/25 sampled docs,
IR-O-U-0304,Homi Bhabha National Institute,Homi Bhabha National Institute,Mumbai,India,13/25 sampled docs,yes
IR-O-U-0304,Homi Bhabha National Institute,Bhabha Atomic Research Centre,Mumbai,India,5/25 sampled docs,
IR-O-U-0304,Homi Bhabha National Institute,Indira Gandhi Centre for Atomic Research,Kalpakkam,India,4/25 sampled docs,
IR-O-U-0304,Homi Bhabha National Institute,Raja Ramanna Centre for Advanced Technology,Indore,India,2/25 sampled docs,
IR-O-U-0304,Homi Bhabha National Institute,Variable Energy Cyclotron Centre India,Kolkata,India,2/25 sampled docs,
IR-O-U-0107,Jamia Hamdard,Jamia Hamdard,New Delhi,India,13/25 sampled docs,yes
IR-O-U-0107,Jamia Hamdard,Nims University Rajasthan,Jaipur,India,1/25 sampled docs,
IR-O-U-0107,Jamia Hamdard,ICMR–National Institute of Nutrition,Hyderabad,India,1/25 sampled docs,
IR-O-U-0107,Jamia Hamdard,"ICAR - National Bureau of Plant Genetic Resources, New Delhi",New Delhi,India,1/25 sampled docs,
IR-O-U-0107,Jamia Hamdard,School of Pharmaceutical Education and Research,Jamia Hamdard,India,1/25 sampled docs,
IR-O-U-0490,Vellore Institute of Technology,Vellore Institute of Technology,Vellore,India,13/25 sampled docs,yes
IR-O-U-0490,Vellore Institute of Technology,"Vellore Institute of Technology, Chennai",Chennai,India,7/25 sampled docs,
IR-O-U-0490,Vellore Institute of Technology,Universität Trier,Trier,Germany,2/25 sampled docs,
IR-O-U-0490,Vellore Institute of Technology,CVR College of Engineering,Ibrahimpatnam,India,1/25 sampled docs,
IR-O-U-0490,Vellore Institute of Technology,Indian Institute of Technology Madras,Chennai,India,1/25 sampled docs,
IR-O-I-1357,University of Madras,University of Madras,Chennai,India,11/25 sampled docs,yes
IR-O-I-1357,University of Madras,Saveetha School of Engineering,Chennai,India,1/25 sampled docs,
IR-O-I-1357,University of Madras,Mother Teresa Women's University,Kodaikanal,India,1/25 sampled docs,
IR-O-I-1357,University of Madras,Diamond Harbour Women's University,Sarisa,India,1/25 sampled docs,
IR-O-I-1357,University of Madras,"University of the Witwatersrand, Johannesburg",Johannesburg,South Africa,1/25 sampled docs,
IR-O-U-0078,Panjab University,Panjab University,Chandigarh,India,17/25 sampled docs,yes
IR-O-U-0078,Panjab University,University Institute of Engineering and Technology,Chandigarh,India,3/25 sampled docs,
IR-O-U-0078,Panjab University,University Institute of Pharmaceutical Sciences,Chandigarh,India,2/25 sampled docs,
IR-O-U-0078,Panjab University,"Vels Institute of Science, Technology & Advanced Studies",Chennai,India,1/25 sampled docs,
IR-O-U-0078,Panjab University,Univerzita Komenského v Bratislave,Bratislava,Slovakia,1/25 sampled docs,
IR-O-U-0260,Kerala University,Kerala University of Fisheries and Ocean Studies,Kochi,India,6/25 sampled docs,
IR-O-U-0260,Kerala University,Kerala University of Health Sciences,Thrissur,India,3/25 sampled docs,
IR-O-U-0260,Kerala University,Princess Nourah Bint Abdulrahman University,Riyadh,Saudi Arabia,2/25 sampled docs,
IR-O-U-0260,Kerala University,Cochin University of Science and Technology,Kochi,India,2/25 sampled docs,
IR-O-U-0260,Kerala University,Geological Survey of India,Kolkata,India,2/25 sampled docs,
