institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc
IR-O-U-0435,2021,Alagappa University,Karaikudi,Tamil Nadu,58.71,27.32,67.45,51.68,46.34,49.09,33,349,3305,9.47,690,836,54,44347060,680,18858,27.73
IR-O-U-0435,2022,Alagappa University,Karaikudi,Tamil Nadu,61.66,32.63,72.21,51.56,42.91,52.18,28,361,3480,9.64,710,830,19,70419233,632,11746,18.59
IR-O-U-0435,2023,Alagappa University,Karaikudi,Tamil Nadu,61.51,36.63,73.97,52.13,40.88,53.53,30,378,3859,10.21,779,878,31,160407480,538,8601,15.99
IR-O-U-0435,2024,Alagappa University,Karaikudi,Tamil Nadu,65.88,35.30,73.76,51.91,35.47,53.84,47,388,3899,10.05,750,779,13,147013386,528,4666,8.84
IR-O-U-0435,2025,Alagappa University,Karaikudi,Tamil Nadu,64.62,33.07,73.27,55.96,49.04,54.45,44,382,4051,10.6,731,725,41,166816254,598,2477,4.14
IR-O-U-0496,2021,Aligarh Muslim University,Aligarh,Uttar Pradesh,69.06,40.86,80.06,56.93,42.90,58.97,10,1674,20198,12.07,3634,250,81,563724255,2011,44664,22.21
IR-O-U-0496,2022,Aligarh Muslim University,Aligarh,Uttar Pradesh,69.21,43.04,88.92,56.29,43.49,61.43,11,1645,17949,10.91,3498,191,138,390209105,2224,41986,18.88
IR-O-U-0496,2023,Aligarh Muslim University,Aligarh,Uttar Pradesh,68.87,46.88,94.55,60.04,42.48,63.88,9,1583,18460,11.66,2995,144,184,379815309,2313,32016,13.84
IR-O-U-0496,2024,Aligarh Muslim University,Aligarh,Uttar Pradesh,74.02,45.91,93.81,61.15,47.21,65.57,8,1464,18782,12.83,2652,126,227,751286253,2116,20939,9.9
IR-O-U-0496,2025,Aligarh Muslim University,Aligarh,Uttar Pradesh,71.50,48.04,93.79,64.58,42.74,65.35,10,1424,19240,13.51,2466,106,243,807603543,2029,10451,5.15
