institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,total_graduating,total_placed,total_higher_studies,placement_rate_pct,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc,matched_journal_docs,quartile_match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0435,2021,Alagappa University,Karaikudi,Tamil Nadu,58.71,27.32,67.45,51.68,46.34,49.09,33,349,3305,9.47,1327,113,12,8.5,690,836,54,44347060,680,18858,27.73,584,85.9,46.7,36.0,11.5,5.8
IR-O-U-0435,2022,Alagappa University,Karaikudi,Tamil Nadu,61.66,32.63,72.21,51.56,42.91,52.18,28,361,3480,9.64,1328,91,27,6.9,710,830,19,70419233,632,11746,18.59,508,80.4,44.9,37.6,10.4,7.1
IR-O-U-0435,2023,Alagappa University,Karaikudi,Tamil Nadu,61.51,36.63,73.97,52.13,40.88,53.53,30,378,3859,10.21,1397,203,50,14.5,779,878,31,160407480,538,8601,15.99,452,84.0,40.5,39.8,13.1,6.6
IR-O-U-0435,2024,Alagappa University,Karaikudi,Tamil Nadu,65.88,35.30,73.76,51.91,35.47,53.84,47,388,3899,10.05,1557,364,49,23.4,750,779,13,147013386,528,4666,8.84,446,84.5,47.1,27.6,17.3,8.1
IR-O-U-0435,2025,Alagappa University,Karaikudi,Tamil Nadu,64.62,33.07,73.27,55.96,49.04,54.45,44,382,4051,10.6,1617,311,93,19.2,731,725,41,166816254,598,2477,4.14,500,83.6,41.4,31.6,17.6,9.4
IR-O-U-0496,2021,Aligarh Muslim University,Aligarh,Uttar Pradesh,69.06,40.86,80.06,56.93,42.90,58.97,10,1674,20198,12.07,5074,865,2312,17.0,3634,250,81,563724255,2011,44664,22.21,1531,76.1,35.7,28.5,22.1,13.7
IR-O-U-0496,2022,Aligarh Muslim University,Aligarh,Uttar Pradesh,69.21,43.04,88.92,56.29,43.49,61.43,11,1645,17949,10.91,5163,1031,1619,20.0,3498,191,138,390209105,2224,41986,18.88,1690,76.0,38.0,33.7,17.1,11.2
IR-O-U-0496,2023,Aligarh Muslim University,Aligarh,Uttar Pradesh,68.87,46.88,94.55,60.04,42.48,63.88,9,1583,18460,11.66,5676,1384,2425,24.4,2995,144,184,379815309,2313,32016,13.84,1691,73.1,38.7,32.9,18.2,10.2
IR-O-U-0496,2024,Aligarh Muslim University,Aligarh,Uttar Pradesh,74.02,45.91,93.81,61.15,47.21,65.57,8,1464,18782,12.83,5662,1413,2490,25.0,2652,126,227,751286253,2116,20939,9.9,1628,76.9,39.7,32.7,16.5,11.1
IR-O-U-0496,2025,Aligarh Muslim University,Aligarh,Uttar Pradesh,71.50,48.04,93.79,64.58,42.74,65.35,10,1424,19240,13.51,6249,1701,3313,27.2,2466,106,243,807603543,2029,10451,5.15,1572,77.5,40.0,32.3,17.1,10.6
IR-O-U-0497,2021,Amity University,Gautam Budh Nagar,Uttar Pradesh,48.98,43.27,67.55,64.66,32.53,50.90,25,2068,36920,17.85,7527,3585,966,47.6,541,1536,149,151143245,3961,73992,18.68,2562,64.7,28.9,22.8,19.3,29.0
IR-O-U-0497,2022,Amity University,Gautam Budh Nagar,Uttar Pradesh,49.57,47.89,70.35,64.17,33.40,53.07,22,1871,35504,18.98,7350,2672,584,36.4,700,1810,101,137014456,4581,76197,16.63,2997,65.4,28.5,26.5,20.9,24.0
