year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,pdf_url,parse_status,faculty_section_raw
,,,,,,,,,,,,,2614,0,351,0,324,0,289,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,4594,0,622,0,639,0,601,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,3652,230,480,221,438,292,556,441,,,,,,,,,,,ok,
,,,,,,,,,,,,,1415,11,210,0,228,4,249,5,,,,,,,,,,,ok,
,,,,,,,,,,,,,1420,1897,529,234,269,228,258,211,,,,,,,,,,,ok,
,,,,,,,,,,,,,2659,0,397,0,405,0,373,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1318,1112,117,106,158,122,148,117,,,,,,,,,,,ok,
,,,,,,,,,,,,,533,179,65,28,46,16,49,18,,,,,,,,,,,ok,
,,,,,,,,,,,,,675,37,227,0,102,0,78,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1317,0,278,0,196,0,233,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,2821,193,312,10,387,16,345,16,,,,,,,,,,,ok,
,,,,,,,,,,,,,1440,0,309,0,266,0,276,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,3634,0,607,0,578,0,693,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,453,215,101,30,102,47,115,37,,,,,,,,,,,ok,
,,,,,,,,,,,,,563,73,137,3,95,0,91,1,,,,,,,,,,,ok,
,,,,,,,,,,,,,851,1124,346,217,191,142,201,170,,,,,,,,,,,ok,
,,,,,,,,,,,,,2017,0,269,0,262,0,230,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,348,0,84,0,106,0,60,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1377,1625,136,51,134,52,84,24,,,,,,,,,,,ok,
,,,,,,,,,,,,,864,209,207,30,226,27,246,26,,,,,,,,,,,ok,
,,,,,,,,,,,,,2606,0,324,0,325,0,298,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,741,327,240,84,257,110,192,82,,,,,,,,,,,ok,
,,,,,,,,,,,,,605,214,105,8,49,11,69,25,,,,,,,,,,,ok,
,,,,,,,,,,,,,446,239,82,8,35,14,34,13,,,,,,,,,,,ok,
,,,,,,,,,,,,,34,0,16,0,20,0,32,0,,,,,,,,,,,ok,
,,,,,,,,,,,,,1941,1267,282,189,432,288,384,256,,,,,,,,,,,ok,
,,,,,,,,,,,,,424,206,28,49,39,67,19,40,,,,,,,,,,,ok,
