year,institute_id,name,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,pdf_url,faculty_count,total_student_strength,student_strength_breakdown,phd_fulltime_current,phd_parttime_current,phd_graduated_fulltime_y1,phd_graduated_parttime_y1,phd_graduated_fulltime_y2,phd_graduated_parttime_y2,phd_graduated_fulltime_y3,phd_graduated_parttime_y3,sponsored_projects_y1,sponsored_projects_y2,sponsored_projects_y3,sponsored_funding_agencies_y1,sponsored_funding_agencies_y2,sponsored_funding_agencies_y3,sponsored_amount_y1,sponsored_amount_y2,sponsored_amount_y3,parse_status,faculty_section_raw
2021,IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,79.13,91.48,78.23,58.39,100.00,82.67,1,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0220.pdf,464,1438,"{""UG [4 Years Program(s)]"": 478, ""PG [2 Year Program(s)]"": 773, ""PG [3 Year Program(s)]"": 187}",2619,135,336,20,402,23,351,17,1236,1001,1092,153,237,109,4452945226,3811242036,4692022074,ok,Number of faculty members entered 464
2021,IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,71.19,44.96,95.07,73.36,67.88,67.99,2,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0109.pdf,647,4272,"{""UG [3 Years Program(s)]"": 1048, ""PG [2 Year Program(s)]"": 2912, ""PG [3 Year Program(s)]"": 96, ""PG-Integrated"": 216}",4251,0,476,0,805,0,622,0,307,337,282,26,37,35,294177607,343448178,321701254,ok,Number of faculty members entered 647
2021,IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.50,45.00,100.00,53.13,58.57,64.02,3,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0500.pdf,1535,25585,"{""UG [3 Years Program(s)]"": 12617, ""UG [4 Years Program(s)]"": 2038, ""UG [5 Years Program(s)]"": 1040, ""PG [2 Year Program(s)]"": 9158, ""PG [3 Year Program(s)]"": 732}",3302,179,953,23,807,235,809,221,377,373,380,32,53,61,408686049,464277125,1271450835,ok,Number of faculty members entered 1535
2021,IR-O-U-0570,Calcutta University,Kolkata,West Bengal,66.20,43.92,91.72,60.98,45.77,62.06,4,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0570.pdf,1275,15224,"{""UG [3 Years Program(s)]"": 1255, ""UG [4 Years Program(s)]"": 1008, ""UG [5 Years Program(s)]"": 608, ""PG [1 Year Program(s)]"": 223, ""PG [2 Year Program(s)]"": 11784, ""PG [3 Year Program(s)]"": 163, ""PG-Integrated"": 183}",2588,1192,611,489,323,276,529,234,683,676,602,76,69,67,992007876,913323751,578532524,ok,Number of faculty members entered 1275
2021,IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,64.23,54.33,71.35,65.54,48.36,61.23,5,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0436.pdf,1624,21108,"{""UG [3 Years Program(s)]"": 2849, ""UG [4 Years Program(s)]"": 10701, ""UG [5 Years Program(s)]"": 1082, ""PG [1 Year Program(s)]"": 63, ""PG [2 Year Program(s)]"": 2992, ""PG [3 Year Program(s)]"": 761, ""PG-Integrated"": 2478, ""PG [6 Year Program(s)]"": 182}",562,651,63,30,130,19,76,20,174,144,138,82,64,71,256034400,248601253,216723224,ok,Number of faculty members entered 1624
2021,IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.44,43.43,86.67,72.35,32.17,60.74,6,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0108.pdf,742,8623,"{""UG [3 Years Program(s)]"": 3097, ""UG [4 Years Program(s)]"": 1894, ""UG [5 Years Program(s)]"": 920, ""PG [2 Year Program(s)]"": 2564, ""PG [3 Year Program(s)]"": 148}",1483,0,345,0,360,0,309,0,199,121,76,45,30,19,486864702,300732663,331361243,ok,Number of faculty members entered 742
2021,IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,67.68,48.17,76.05,65.25,40.93,60.58,7,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0234.pdf,2661,23443,"{""UG [3 Years Program(s)]"": 2248, ""UG [4 Years Program(s)]"": 11645, ""UG [5 Years Program(s)]"": 4247, ""PG [1 Year Program(s)]"": 27, ""PG [2 Year Program(s)]"": 4134, ""PG [3 Year Program(s)]"": 965, ""PG [6 Year Program(s)]"": 177}",1035,51,124,44,237,0,227,0,407,423,324,149,124,146,264444975,347449423,516201723,ok,Number of faculty members entered 2661
2021,IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,51.70,51.72,87.77,50.16,67.31,60.33,8,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0575.pdf,639,10985,"{""UG [3 Years Program(s)]"": 2765, ""UG [4 Years Program(s)]"": 4320, ""UG [5 Years Program(s)]"": 588, ""PG [2 Year Program(s)]"": 2817, ""PG [3 Year Program(s)]"": 495}",2814,0,338,0,366,0,397,0,262,318,197,46,62,55,435392251,674873524,441814244,ok,Number of faculty members entered 639
2021,IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,69.59,40.74,77.44,58.72,52.49,59.71,9,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0042.pdf,442,3428,"{""PG [2 Year Program(s)]"": 2173, ""PG [3 Year Program(s)]"": 222, ""PG-Integrated"": 1033}",1758,15,264,0,210,4,229,0,319,370,360,43,54,58,356820612,670101167,496791150,ok,Number of faculty members entered 442
2021,IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,69.06,40.86,80.06,56.93,42.90,58.97,10,https://www.nirfindia.org/nirfpdfcdn/2021/pdf/University/IR-O-U-0496.pdf,1674,20198,"{""UG [3 Years Program(s)]"": 9364, ""UG [4 Years Program(s)]"": 2451, ""UG [5 Years Program(s)]"": 2736, ""PG [1 Year Program(s)]"": 221, ""PG [2 Year Program(s)]"": 4636, ""PG [3 Year Program(s)]"": 790}",3634,250,384,21,363,15,312,10,81,88,90,43,82,31,563724255,387048350,85876855,ok,Number of faculty members entered 1674
