institute_id,year,total_documents,total_citations,avg_citations_per_doc,note
IR-O-U-0220,2021,5000,111146,22.23,only 5000/5372 retrieved (ceiling or partial failure)
IR-O-U-0220,2022,5000,83964,16.79,only 5000/5803 retrieved (ceiling or partial failure)
IR-O-U-0220,2023,5000,66824,13.36,only 5000/5648 retrieved (ceiling or partial failure)
IR-O-U-0220,2024,5000,47527,9.51,only 5000/6072 retrieved (ceiling or partial failure)
IR-O-U-0220,2025,5000,20914,4.18,only 5000/6516 retrieved (ceiling or partial failure)
IR-O-U-0109,2021,1542,32667,21.18,
IR-O-U-0109,2022,1577,22877,14.51,
IR-O-U-0109,2023,1562,16490,10.56,
IR-O-U-0109,2024,1606,13402,8.34,
IR-O-U-0109,2025,1527,4744,3.11,
IR-O-U-0500,2021,2493,73303,29.4,
IR-O-U-0500,2022,3021,64255,21.27,
IR-O-U-0500,2023,3107,45976,14.8,
IR-O-U-0500,2024,3318,33639,10.14,
IR-O-U-0500,2025,3478,14443,4.15,
IR-O-U-0042,2021,1097,27334,24.92,
IR-O-U-0042,2022,1123,17331,15.43,
IR-O-U-0042,2023,1177,13164,11.18,
IR-O-U-0042,2024,1142,11727,10.27,
IR-O-U-0042,2025,1151,2972,2.58,
IR-O-U-0570,2021,1471,36516,24.82,
IR-O-U-0570,2022,1451,29483,20.32,
IR-O-U-0570,2023,1392,13096,9.41,
IR-O-U-0570,2024,1501,9943,6.62,
IR-O-U-0570,2025,1437,4233,2.95,
IR-O-U-0575,2021,2074,38754,18.69,
IR-O-U-0575,2022,2140,28368,13.26,
IR-O-U-0575,2023,2192,25922,11.83,
IR-O-U-0575,2024,2311,16686,7.22,
IR-O-U-0575,2025,2182,7656,3.51,
IR-O-U-0439,2021,2315,45291,19.56,
IR-O-U-0439,2022,2396,35104,14.65,
IR-O-U-0439,2023,2332,25179,10.8,
IR-O-U-0439,2024,2363,17641,7.47,
IR-O-U-0439,2025,2434,8246,3.39,
IR-O-U-0436,2021,1760,25674,14.59,
IR-O-U-0436,2022,2001,24716,12.35,
IR-O-U-0436,2023,2645,26877,10.16,
IR-O-U-0436,2024,3814,29415,7.71,
IR-O-U-0436,2025,4544,16677,3.67,
IR-O-U-0234,2021,2660,62817,23.62,
IR-O-U-0234,2022,3298,65118,19.74,
IR-O-U-0234,2023,3559,57352,16.11,
IR-O-U-0234,2024,4823,70742,14.67,
IR-O-U-0234,2025,5000,27633,5.53,only 5000/6223 retrieved (ceiling or partial failure)
IR-O-U-0323,2021,980,19792,20.2,
IR-O-U-0323,2022,1116,20723,18.57,
IR-O-U-0323,2023,1276,14828,11.62,
IR-O-U-0323,2024,1240,10480,8.45,
IR-O-U-0323,2025,1582,5597,3.54,
IR-O-U-0496,2021,2011,44664,22.21,
IR-O-U-0496,2022,2224,41986,18.88,
IR-O-U-0496,2023,2313,32016,13.84,
IR-O-U-0496,2024,2116,20939,9.9,
IR-O-U-0496,2025,2029,10451,5.15,
IR-O-U-0108,2021,1380,35479,25.71,
IR-O-U-0108,2022,1596,37548,23.53,
IR-O-U-0108,2023,1612,28473,17.66,
IR-O-U-0108,2024,1515,37083,24.48,
IR-O-U-0108,2025,1463,10657,7.28,
IR-O-U-0120,2021,3303,64550,19.54,
IR-O-U-0120,2022,3592,50692,14.11,
IR-O-U-0120,2023,3840,47550,12.38,
IR-O-U-0120,2024,4089,34928,8.54,
IR-O-U-0120,2025,4366,17254,3.95,
IR-O-U-0447,2021,846,18444,21.8,
IR-O-U-0447,2022,818,13653,16.69,
IR-O-U-0447,2023,772,10482,13.58,
IR-O-U-0447,2024,796,18532,23.28,
IR-O-U-0447,2025,818,6186,7.56,
IR-O-U-0308,2021,2382,69183,29.04,
IR-O-U-0308,2022,2554,52146,20.42,
IR-O-U-0308,2023,2836,48236,17.01,
IR-O-U-0308,2024,2990,32056,10.72,
IR-O-U-0308,2025,2813,16187,5.75,
IR-O-U-0006,2021,623,7204,11.56,
IR-O-U-0006,2022,665,6868,10.33,
IR-O-U-0006,2023,691,9679,14.01,
IR-O-U-0006,2024,712,6596,9.26,
IR-O-U-0006,2025,710,1761,2.48,
IR-O-U-0304,2021,2166,35993,16.62,
IR-O-U-0304,2022,2625,33385,12.72,
IR-O-U-0304,2023,2719,29539,10.86,
IR-O-U-0304,2024,3040,32200,10.59,
IR-O-U-0304,2025,2956,9792,3.31,
IR-O-U-0107,2021,519,15310,29.5,
IR-O-U-0107,2022,709,14515,20.47,
IR-O-U-0107,2023,671,11596,17.28,
IR-O-U-0107,2024,648,12467,19.24,
IR-O-U-0107,2025,647,4380,6.77,
IR-O-U-0490,2021,3701,74710,20.19,
IR-O-U-0490,2022,4892,91254,18.65,
IR-O-U-0490,2023,5000,76569,15.31,only 5000/6517 retrieved (ceiling or partial failure)
IR-O-U-0490,2024,5000,57713,11.54,only 5000/8139 retrieved (ceiling or partial failure)
IR-O-U-0490,2025,5000,26112,5.22,only 5000/8699 retrieved (ceiling or partial failure)
IR-O-I-1357,2021,745,17914,24.05,
IR-O-I-1357,2022,841,11123,13.23,
IR-O-I-1357,2023,741,7882,10.64,
IR-O-I-1357,2024,795,7707,9.69,
IR-O-I-1357,2025,722,3205,4.44,
IR-O-U-0078,2021,1647,46429,28.19,
IR-O-U-0078,2022,1733,36601,21.12,
IR-O-U-0078,2023,1762,33477,19.0,
IR-O-U-0078,2024,1728,34357,19.88,
IR-O-U-0078,2025,1709,12279,7.18,
IR-O-U-0391,2021,600,15186,25.31,
IR-O-U-0391,2022,646,13145,20.35,
IR-O-U-0391,2023,795,10992,13.83,
IR-O-U-0391,2024,856,8908,10.41,
IR-O-U-0391,2025,971,4795,4.94,
IR-O-U-0363,2021,875,13109,14.98,
IR-O-U-0363,2022,930,12616,13.57,
IR-O-U-0363,2023,1040,9947,9.56,
IR-O-U-0363,2024,1168,8922,7.64,
IR-O-U-0363,2025,2808,13918,4.96,
IR-O-U-0523,2021,518,6993,13.5,
IR-O-U-0523,2022,478,7136,14.93,
IR-O-U-0523,2023,516,4036,7.82,
IR-O-U-0523,2024,521,10967,21.05,
IR-O-U-0523,2025,616,6985,11.34,
IR-O-U-0027,2021,575,8261,14.37,
IR-O-U-0027,2022,762,8157,10.7,
IR-O-U-0027,2023,840,6750,8.04,
IR-O-U-0027,2024,800,4110,5.14,
IR-O-U-0027,2025,758,2270,2.99,
IR-O-I-1480,2021,227,5852,25.78,
IR-O-I-1480,2022,218,3916,17.96,
IR-O-I-1480,2023,228,3897,17.09,
IR-O-I-1480,2024,211,2324,11.01,
IR-O-I-1480,2025,298,1386,4.65,
IR-O-U-0435,2021,680,18858,27.73,
IR-O-U-0435,2022,632,11746,18.59,
IR-O-U-0435,2023,538,8601,15.99,
IR-O-U-0435,2024,528,4666,8.84,
IR-O-U-0435,2025,598,2477,4.14,
IR-O-U-0056,2021,570,9328,16.36,
IR-O-U-0056,2022,664,10208,15.37,
IR-O-U-0056,2023,691,8424,12.19,
IR-O-U-0056,2024,803,6498,8.09,
IR-O-U-0056,2025,880,3049,3.46,
IR-O-U-0262,2021,0,0,0,
IR-O-U-0262,2022,1,18,18.0,
IR-O-U-0262,2023,1,1,1.0,
IR-O-U-0262,2024,2,4,2.0,
IR-O-U-0262,2025,1,0,0.0,
IR-O-U-0356,2021,0,0,0,
IR-O-U-0356,2022,5,15,3.0,
IR-O-U-0356,2023,5,245,49.0,
IR-O-U-0356,2024,2,7,3.5,
IR-O-U-0356,2025,2,7,3.5,
IR-O-U-0473,2021,2560,49494,19.33,
IR-O-U-0473,2022,4204,62865,14.95,
IR-O-U-0473,2023,5000,59567,11.91,only 5000/5490 retrieved (ceiling or partial failure)
IR-O-U-0473,2024,5000,59907,11.98,only 5000/7499 retrieved (ceiling or partial failure)
IR-O-U-0473,2025,5000,23052,4.61,only 5000/8450 retrieved (ceiling or partial failure)
IR-O-I-1486,2021,366,3566,9.74,
IR-O-I-1486,2022,459,3541,7.71,
IR-O-I-1486,2023,449,3140,6.99,
IR-O-I-1486,2024,483,1972,4.08,
IR-O-I-1486,2025,708,1092,1.54,
IR-O-U-0222,2021,161,3435,21.34,
IR-O-U-0222,2022,253,4441,17.55,
IR-O-U-0222,2023,237,9143,38.58,
IR-O-U-0222,2024,259,2183,8.43,
IR-O-U-0222,2025,300,952,3.17,
IR-O-U-0331,2021,282,2873,10.19,
IR-O-U-0331,2022,288,2002,6.95,
IR-O-U-0331,2023,272,1530,5.62,
IR-O-U-0331,2024,277,1233,4.45,
IR-O-U-0331,2025,240,451,1.88,
IR-O-U-0446,2021,362,7024,19.4,
IR-O-U-0446,2022,626,9110,14.55,
IR-O-U-0446,2023,530,6951,13.12,
